"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Multi-Topology Based QoS-Differentiation in RPL for Internet of Things Applications","K. S. Bhandari; I. -H. Ra; G. Cho","Division of Computer Science and Engineering, Jeonbuk National University, Jeonju, South Korea; School of Computer, Information and Communication Engineering, Kunsan National University, Gunsan, South Korea; Division of Computer Science and Engineering, Jeonbuk National University, Jeonju, South Korea",IEEE Access,"2 Jun 2020","2020","8","","96686","96705","The rapid development of the Internet of Things (IoT) concept has promoted the presence of routing protocol for low power and lossy network (RPL). Unlike traditional applications, many applications envisioned for IoT networks may have different and sometimes conflicting requirements. In this context, the underlying routing protocol requires to provide quality of service (QoS) for multipurpose IoT and is inevitable. However, the routing approach in RPL is not efficient because default objective functions (OFs) rely on a single metric, which can result in a tradeoff in routing performance, particularly for multipurpose IoT that enchant different QoS requirements in the same network. Although RPL specification allows the use of multiple metrics for parent selection, however, no specific guideline is defined for metric combinations. Besides, many studies have revealed that RPL encounters severe problems in large scale networks as it was mainly designed for low data traffic network. To address these problems, in this paper, we primarily focus on QoS differentiation by exploiting the multi-topology routing feature of the RPL standard. For this, we propose different OFs, which ensures the QoS differentiation at the network level by splitting the physical network virtually into multiple RPL Instances. Each Instance can incorporate different traffic by associating with differing OFs, and routed it through the corresponding virtual network topology. We also present a new parent selection framework based on a multi-attribute decision-making approach that addresses the single routing metric problem in RPL. The extensive simulation results verify that our multi-topology routing approach can support the QoS provisioning and is suitable for large scale networks as compared with standard RPL.","2169-3536","","10.1109/ACCESS.2020.2995794","Institute for Information and Communication Technology Promotion (IITP); Korea Government Ministry of Science and ICT (MSIT)(grant numbers:2018-0-00508); Research Funds of Jeonbuk National University, in 2020; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9097219","Internet of Things;quality of service;low power and lossy networks;routing metrics;objective function;6LoWPAN;border router","Routing;Quality of service;Measurement;Network topology;Internet of Things;Routing protocols;Topology","","25","","77","CCBY","20 May 2020","","","IEEE","IEEE Journals"
"AI-Assisted Service Virtualization and Flow Management Framework for 6G-Enabled Cloud-Software-Defined Network-Based IoT","G. Manogaran; T. Baabdullah; D. B. Rawat; P. M. Shakeel","Department of Electrical Engineering and Computer Science, College of Engineering and Architecture, Howard University, Washington, DC, USA; Department of Electrical Engineering and Computer Science, Howard University, Washington, DC, USA; Department of Electrical Engineering and Computer Science, Howard University, Washington, DC, USA; Faculty of Information and Communication Technology, Universiti Teknikal Malaysia~Melaka, Durian Tunggal, Malaysia",IEEE Internet of Things Journal,"8 Aug 2022","2022","9","16","14644","14654","The sixth-generation (6G) communication technology provides a high level of interoperability through terahertz data transfer and latency-less service sharing. Due to its interoperable nature, the integration of heterogeneous networks, such as the Internet of Things (IoT) and cloud radio access networks (CRANs), is performed at ease. This integration is managed using software-defined networks (SDNs) for managing the Quality of Service (QoS) experience of the users, irrespective of the application. This manuscript proposes the service virtualization and flow management framework (SVFMF) for the reliable utilization of resources in the 6G-cloud environment. The imbalance in a service request and response due to overloaded and idle virtual resources is addressed in this framework. For this purpose, this framework endorses service virtualization and user allocation modules for mitigating the drawbacks of imbalanced service allocations. Linear decision making of the service virtualization process helps to reduce the computation and service discovery by identifying overloaded services and performing a reallocation. The purpose of user allocation is to distribute the service requests to the idle service providers to reduce the prolonged wait time of the increasing user requests. The performance of the proposed framework is verified using experimental analyses, for the metrics service discovery and computation time, service failure ratio, and flows. The reliability of SVFMF is proved by varying the density of users, virtual machines, service requests, and user allocation per virtual machine, respectively.","2327-4662","","10.1109/JIOT.2021.3077895","U.S. National Science Foundation (NSF)(grant numbers:CNS 1650831,CNS/SaTC 2039583,1828811,1924092); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9424691","Deep learning;Internet of Things (IoT);service virtualization;sixth generation (6G);user allocation","Internet of Things;Virtualization;6G mobile communication;Resource management;Quality of service;Cloud computing;Mathematical model","","18","","30","IEEE","6 May 2021","","","IEEE","IEEE Journals"
"Ensuring Trustworthiness in IoIT/AIoT: A Phase-Based Approach","R. Su; A. R. Sfar; E. Natalizio; P. Moyal; Y. -Q. Song","LORIA, Université de Lorraine, France; STD lab, Military Academy of Tunisia, Tunisia; LORIA, Université de Lorraine, France; IECL, INRIA, Université de Lorraine, France; LORIA, Université de Lorraine, France",IEEE Internet of Things Magazine,"13 Sep 2022","2022","5","2","84","88","Artificial intelligence (AI) and the Internet of Things (IoT) have quickly climbed in the ranking of the hottest terms in the technological arena. The integration of AI techniques within IoT is considered extremely advantageous to improve the quality of IoT applications. However, the introduction of intelligence into IoT raises new security challenges related to the additional complexity and the increased volume of smart services, especially when facing attacks from intelligent malicious IoT nodes. In spite of the urgent demand for security in AI-enhanced IoT systems, a complete solution involving trust management (TM) among IoT devices is missing. In this article, a four-phase TM approach assessing the trustworthiness of intelligent nodes is presented. This approach is capable of dynamically and diversely assessing the trustwor-thiness in each phase, namely access control, service provider selection, evaluation, and classification. The simulation results show the effectiveness of the proposed approach for securing intelligent IoT systems.","2576-3199","","10.1109/IOTM.001.2100190","ANR(grant numbers:ANR-18- CE40-0019); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9889275","","Access control;Simulation;Complexity theory;Internet of Things;Artificial intelligence;Trust management","","2","","15","IEEE","13 Sep 2022","","","IEEE","IEEE Magazines"
"A Two-Stage Fault Tolerance Method for Large-Scale Manufacturing Network","Y. Wu; G. Peng; H. Wang; H. Zhang","Department of Automation, Tsinghua University, Beijing, China; Engineering Research Institute, University of Science and Technology Beijing, Beijing, China; ZJU-UIUC Institute, Zhejiang University, Hangzhou, China; Department of Automation, Tsinghua University, Beijing, China",IEEE Access,"1 Jul 2019","2019","7","","81574","81592","Nowadays, networked manufacturing paradigm, such as cloud manufacturing, has brought new challenges for fault tolerance methods. Failures and errors of manufacturing services are unavoidable in the large-scale network. Appropriate fault tolerance methods need to be adopted to improve the reliability of the whole manufacturing network. Aiming at solving this problem, a two-stage fault tolerance method is, thus, proposed. In the off-line stage, a LeaderRank-based manufacturing nodes ranking (LNR) algorithm is put forward to rank the manufacturing services according to their significance in fault tolerance. Replication strategies are employed only for critical services to achieve the tradeoff between fault tolerance effect and fault tolerance loss. In the online stage, an A*-based heuristic alternative path searching (AHPS) algorithm is proposed to find suitable replacement schemes for composite services. The experimental results illustrate that the two-stage fault tolerance method can improve the reliability of large-scale manufacturing networks both effectively and efficiently.","2169-3536","","10.1109/ACCESS.2019.2923660","Zhejiang University; National Key R&D Program of China(grant numbers:2018YFB1701602); State Key Laboratory of Intelligent Manufacturing System Technology(grant numbers:QYYE1601); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8740947","Fault tolerance;manufacturing network;nodal importance ranking;A* search","Manufacturing;Fault tolerance;Fault tolerant systems;Heuristic algorithms;Task analysis;Web services","","7","","46","CCBY","19 Jun 2019","","","IEEE","IEEE Journals"
"A ReRAM-Based 4T2R Nonvolatile TCAM Using RC-Filtered Stress-Decoupled Scheme for Frequent-OFF Instant-ON Search Engines Used in IoT and Big-Data Processing","M. -F. Chang; L. -Y. Huang; W. -Z. Lin; Y. -N. Chiang; C. -C. Kuo; C. -H. Chuang; K. -H. Yang; H. -J. Tsai; T. -F. Chen; S. -S. Sheu","Department of Electrical Engineering, National Tsing Hua University, Hsinchu, Taiwan; National Tsing Hua University; Department of Electrical Engineering, National Tsing Hua University, Hsinchu, Taiwan; Department of Electrical Engineering, National Tsing Hua University, Hsinchu, Taiwan; Industrial Technology Research Institute, Hsinchu, Taiwan; Department of Electrical Engineering, National Tsing Hua University, Hsinchu, Taiwan; National Chiao Tung University, Hsinchu, Taiwan; National Chiao Tung University, Hsinchu, Taiwan; National Chiao Tung University, Hsinchu, Taiwan; Industrial Technology Research Institute, Hsinchu, Taiwan",IEEE Journal of Solid-State Circuits,"24 Oct 2016","2016","51","11","2786","2798","This paper outlines the RC-filtered stress-decoupled (RCSD) 4T2R nonvolatile TCAM (nvTCAM) with the following benefits: 1) reduced NVM-stress; 2) reduced ML parasitic load; and 3) suppression of match-line (ML) leakage current from match cells. The RCSD-4T2R cell achieves a 6 $\times $  reduction in NVM-stress, a 2 $\times $  increase in maximum wordlength, and a 2 $\times $  reduction in search delay. In this paper, we also outline two search schemes, referred to as dynamic source-line pulse controlled (DSL-PC) search and dataline-pulse controlled (DL-PC) search, which were developed specifically for the RCSD-4T2R nvTCAM. We fabricated a 128  $\times $  32 b RCSD-4T2R nvTCAM macro with HfO ReRAM using a 180 nm CMOS process. Using the DSL-PC and DL-PC schemes, the measured search delay of the RCSD-4T2R nvTCAM macro was 1.2 ns under typical VDD.","1558-173X","","10.1109/JSSC.2016.2602218","MOST, Taiwan; CIC; EOL of ITRI; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7563786","Filter;nonvolatile TCAM;nonvolatile;ReRAM;search engine;TCAM","Nonvolatile memory;Stress;Transistors;DSL;Leakage currents;Delays;Discharges (electric)","","25","1","23","IEEE","9 Sep 2016","","","IEEE","IEEE Journals"
"ReRAM-Based In-Memory Computing for Search Engine and Neural Network Applications","Y. Halawani; B. Mohammad; M. Abu Lebdeh; M. Al-Qutayri; S. F. Al-Sarawi","System-on-Chip (SoC) Center, Khalifa University, Abu Dhabi, United Arab Emirates; System-on-Chip (SoC) Center, Khalifa University, Abu Dhabi, United Arab Emirates; System-on-Chip (SoC) Center, Khalifa University, Abu Dhabi, United Arab Emirates; System-on-Chip (SoC) Center, Khalifa University, Abu Dhabi, United Arab Emirates; Centre for Biomedical Engineering, The University of Adelaide, Adelaide, SA, Australia",IEEE Journal on Emerging and Selected Topics in Circuits and Systems,"11 Jun 2019","2019","9","2","388","397","Resource-constrained computing devices such as those used in IoTs require low-power, high performance, and small size to be enabled to operate efficiently. Resistive random access memory (ReRAM) is a promising technology for building novel in-memory computing architectures, due to its ability to perform storage and computation using the same physical element with low energy and high density. ReRAMbased search engines and neural network (NN) accelerators have grown significantly especially for IoT devices. In this paper, we propose a memristor-based voltage-resistance xnor (VR-XNOR) cell. The advantages of this cell are demonstrated through building a reconfigurable content-addressable memory (CAM) architecture that can support binary-CAM (BCAM) and ternary-CAM (TCAM) and enable approximate search operations. Moreover, the memristor-based VR-XNOR cell is utilized for binarized convolutional neural networks (CNN) with focus on the convolution operation. This is achieved by replacing the convolution module with XNOR-based filter banks. Simulations of the proposed architectures for search engine and feature extraction were carried out using VTEAM model in Cadence Virtuoso Analog Design Environment. The proposed filter bank architecture achieves a 1-ns extraction cycle time over N filters and produces multiple output feature maps in a single processing cycle. The filter uses two memristor devices to realize each XNOR gate and has shown a significant reduction in the number of multiply-add operations.","2156-3365","","10.1109/JETCAS.2019.2909317","Khalifa University of Science and Technology(grant numbers:[RC2-2018-020]); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8681546","Memristor;CNN;accelerator;in-memory computing;template matching;XNOR","Computer architecture;Memristors;Microprocessors;Resistance;Search engines;Switches;Feature extraction","","35","1","55","IEEE","4 Apr 2019","","","IEEE","IEEE Journals"
"A Progressive Search Paradigm for the Internet of Things","H. Ma; W. Liu",Beijing University of Posts and Telecommunications; Beijing University of Posts and Telecommunications,IEEE MultiMedia,"13 Apr 2018","2018","25","1","76","86","As the Internet of Things (IoT) expands, IoT search has tremendous potential applications but also presents many challenges. To solve these challenges, we propose a progressive search paradigm to reduce the search space that has three main strategies: coarse-to-fine search in the feature space, near-to-distant search in the spatial-temporal space, and low-to-high permission search in the security space. Two case studies from a multimedia-based urban sensing network demonstrate that our approach can significantly improve IoT search speed and accuracy.","1941-0166","","10.1109/MMUL.2017.265091429","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7948966","Internet of Things;IoT;urban sensing network;multimedia;multimodal data;progressive search","Internet of Things;Search problems;Multimedia communication;Internet;Cyberspace;Real-time systems","","40","","12","IEEE","15 Jun 2017","","","IEEE","IEEE Magazines"
"On Scheduling Policy for Multiprocess Cyber–Physical System With Edge Computing","Y. Qiu; S. Wu; Y. Wang; J. Jiao; N. Zhang; Q. Zhang","Department of Electronics and Information Engineering, Harbin Institute of Technology, Shenzhen, China; Department of Electronics and Information Engineering, Harbin Institute of Technology, Shenzhen, China; Department of Electronics and Information Engineering, Harbin Institute of Technology, Shenzhen, China; Department of Electronics and Information Engineering, Harbin Institute of Technology, Shenzhen, China; Department of Electrical and Computer Engineering, University of Windsor, Windsor, ON, Canada; Department of Electronics and Information Engineering, Harbin Institute of Technology, Shenzhen, China",IEEE Internet of Things Journal,"22 Sep 2022","2022","9","19","18559","18572","In this article, we consider a cyber–physical system (CPS) with multiple Internet of Things (IoT) devices. There are multiple independent linear time-invariant processes in the system, which are sampled by sensors, scheduled by controllers, and controlled by actuators. In the literature of wireless control CPS, commonly assume that the system just have one controller and ignore the processing time on server. In this work we employ the edge computing, the controllers are facilitated by edge server and cloud server. The processing time of status update depends on the characteristic of different servers and processes. By taking into account such conditions, we mainly investigate how to choose the destination of status updates (i.e., edge server or cloud server) to minimize the average mean square error (MSE) of the entire system. To address this issue, we formulate a Markov decision process (MDP) problem and obtain the optimal scheduling policy. The threshold property of the optimal scheduling policy is proved, and a suboptimal policy is proposed to overcome the curse of dimensionality. Furthermore, the processing preemption mechanism is considered to schedule the status updates more flexibly, and its consistency property is proved. The simulation results illustrate that the selection of controller is related to the timeliness of process and show the superiority of the proposed policies.","2327-4662","","10.1109/JIOT.2022.3161356","National Key Research and Development Program of China(grant numbers:2020YFB1806403); National Natural Science Foundation of China(grant numbers:61871147,61831008,62071141); Shenzhen Municipal Science and Technology Plan(grant numbers:GXWD20201230155427003-20200730122528002); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9739691","Age of Information (AoI);cyber-physical system (CPS);edge computing;Internet of Things (IoT);multiprocess;preemption","Servers;Process control;Task analysis;Sensors;Wireless sensor networks;Internet of Things;Wireless communication","","","","35","IEEE","22 Mar 2022","","","IEEE","IEEE Journals"
"Autonomous Identification and Optimal Selection of Popular Smart Vehicles for Urban Sensing—An Information-Centric Approach","J. A. Khan; Y. Ghamri-Doudane; D. Botvich","L3i Lab, University of La Rochelle, La Rochelle, France; L3i Lab, University of La Rochelle, La Rochelle, France; Gaspard-Monge Computer Science Laboratory, University Paris-Est, Marne-la-Vallée, France",IEEE Transactions on Vehicular Technology,"14 Dec 2016","2016","65","12","9529","9541","Today, vehicles are becoming powerful sensor platforms capable of collecting, storing, and sharing large amounts of sensory data by constant monitoring of urban streets. It is quite challenging to upload such data from all vehicles to the infrastructure due to limited bandwidth resources and high cost. This invokes the need to identify the appropriate vehicles, important for different urban sensing tasks based on their natural mobility. This paper address this problem of leveraging the self-decision making ability of a “smart vehicle” to measure its relative importance in the network. To do so, we present InfoRank as an information-centric algorithm for a vehicle to first autonomously rank different location-aware information. It then uses the information importance along its mobility pattern to find its importance in the network. We also present a selection algorithm to find the best ranked vehicles for urban sensing and vicinity monitoring to achieve a desired coverage within a limited budget. Our vehicle ranking system is the first step toward identifying the best information hubs to be used in the network for the efficient collection, storage, and distribution of urban sensory information. We evaluate InfoRank under a scalable simulation environment using realistic vehicular mobility traces. Results show that the proposed ranking system efficiently identified socially important vehicles in comparison to other ranking schemes.","1939-9359","","10.1109/TVT.2016.2607151","French Ministry of Industry(grant numbers:ITEA2 11037); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7563399","Information-centric vehicular networking;urban sensing and monitoring","Vehicles;Sensors;Measurement;Social network services;Monitoring;Urban areas;Network topology","","11","","15","IEEE","8 Sep 2016","","","IEEE","IEEE Journals"
"Big Data Analytics for Event Detection in the IoT-Multicriteria Approach","J. Granat; J. M. Batalla; C. X. Mavromoustakis; G. Mastorakis","National Institute of Telecommunications, Warsaw, Poland; Warsaw University of Technology, Warsaw, Poland; University of Nicosia, Nicosia, Cyprus; Hellenic Mediterranean University, Heraklion, Greece",IEEE Internet of Things Journal,"13 May 2020","2020","7","5","4418","4430","Security requirements applicable to the Internet of Things (IoT) should aim to ensure integrity, authenticity and authorization, confidentiality/privacy, nonrepudiation, and last but not least, availability. Classic data analysis algorithms are no longer valid for assuring security at all levels and a new approach to data sciences is required, which would consider the complex heterogeneous nature of the IoT, taking also into consideration, its potential to deploy cross layer for security assessment mechanisms. Furthermore, data collected from sensors should be processed and analyzed nearly in real time. The classical algorithms have two main drawbacks: 1) they deal with unidimensional data and 2) they fail to assume limited information available in the stream data processing. In this article, new solutions are discussed and presented that detect anomalies in data streams nearly in real time. Specifically, we propose: 1) an event detection method used in unidimensional data streams and relying on the event strength function, which is an extension of the typical “True or False” decision-making scheme; 2) multiple-criteria event detection approaches based on the Dynamic Pareto Set, introducing a time-depending decision set; and 3) an anomaly detection method based on multicriteria temporal graphs, combining the dynamics of decision making and multicriteria. All the proposed algorithms are presented by means of their formal description and are illustrated with examples.","2327-4662","","10.1109/JIOT.2019.2957320","National Science Centre, Poland, through the Context-Aware Adaptation Framework for eMBB Services in 5G Networks(grant numbers:2018/30/E/ST7/00413); National Centre of Research and Development, Poland(grant numbers:CYBERSECIDENT/369195/I/NCBR/2017); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8920092","Anomaly detection;data mining;Internet of Things (IoT) security;multicriteria decision making","Security;Internet of Things;Sensors;Logic gates;Event detection;Data analysis","","20","","42","IEEE","3 Dec 2019","","","IEEE","IEEE Journals"
"Value of Information Based Sensor Ranking for Efficient Sensor Service Allocation in Service Oriented Wireless Sensor Networks","S. Bharti; K. K. Pattanaik; P. Bellavista","Department of Information Technology, IGDTUW, Delhi, India; Wireless Sensor Networks Laboratory, ABV-Indian Institute of Information Technology and Management, Gwalior, India; University of Bologna, Bologna, Italy",IEEE Transactions on Emerging Topics in Computing,"4 Jun 2021","2021","9","2","823","838","Sensor service ranking for effective resource allocation is a well studied problem in service oriented wireless sensor networks. Existing sensor service ranking mechanisms fail to maintain a trade-off between meeting application requirements and minimizing the scarce network resource consumption. Moreover, a common usage context of the sensor data is considered while ranking the sensor services for different application queries. This results in a large number of applications not able to meet their specific quality of service requirements. This paper proposes an energy-aware value of information based sensor service ranking mechanism that models the rank of a sensor service as a value of information attribute while taking into account its usage context in the corresponding application. Integration of the proposed ranking mechanism with existing gateway service suggests its efficiency in maintaining a trade-off between application specific quality of service requirements and overall energy consumption in the network. Simulation results show that the proposed mechanism outperforms existing sensor service ranking mechanisms in terms of meeting applications' quality of service requirements. In addition to this, the proposed mechanism shows an impressive 13 percent improvement in network lifetime.","2168-6750","","10.1109/TETC.2019.2891716","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8606228","Wireless sensor network;value of information;sensor ranking;sensing as a service","Quality of service;Wireless sensor networks;Logic gates;Task analysis;Resource management;Energy consumption;Humidity","","17","","37","IEEE","9 Jan 2019","","","IEEE","IEEE Journals"
"Gander: Mobile, Pervasive Search of the Here and Now in the Here and Now","J. Michel; C. Julien; J. Payton","Department of Electrical and Computer Engineering, University of Texas at Austin, Austin, TX, USA; Department of Electrical and Computer Engineering, University of Texas at Austin, Austin, TX, USA; Department of Computer Science, University of North Carolina at Charlotte, Charlotte, NC, USA",IEEE Internet of Things Journal,"20 May 2017","2014","1","5","483","496","The vision of the Internet of Things (IoT) will enable networked environments populated with vast amounts of data that can be exploited by humans. The volume of digitally available data in such emerging computing spaces presents an imminent need for search mechanisms that enable humans and applications to find relevant information within their digitally accessible physical surroundings. This paper presents Gander, a search engine for these pervasive computing spaces enabled by the IoT and characterized by large volumes of highly transient data. Gander is founded on a novel conceptual model of search that resolves queries about a user's here and now by leveraging proximally available resources in the here and now. We formally describe the model underlying Gander, describe the networking protocols that enable Gander's search, and provide a realization of Gander via an extensible framework. Employing this Gander framework, we describe a concrete middleware implementation for wirelessly networked environments. We evaluate this implementation of Gander through a user study that examines the perceived utility of myGander, a real-world mobile application enabled by the Gander middleware, and we benchmark the performance of Gander in large pervasive computing spaces through network simulation.","2327-4662","","10.1109/JIOT.2014.2347132","National Science Foundation(grant numbers:#CNS-0844850); Google Research Award; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6877634","Internet of Things (IoT);pervasive computing;search;query processing;Internet of Things (IoT);pervasive computing;search;query processing","Pervasive computing;Peer-to-peer computing;Protocols;Computational modeling;Wireless sensor networks;Internet of things;Query processing","","12","","49","IEEE","13 Aug 2014","","","IEEE","IEEE Journals"
"Evaluating and Ranking of Critical Success Factors of Cloud Enterprise Resource Planning Adoption Using MCDM Approach","Q. N. Naveed; S. Islam; M. R. N. M. Qureshi; A. M. Aseere; M. A. A. Rasheed; S. Fatima","College of Computer Science, King Khalid University, Abha, Saudi Arabia; College of Engineering, King Khalid University, Abha, Saudi Arabia; College of Engineering, King Khalid University, Abha, Saudi Arabia; College of Computer Science, King Khalid University, Abha, Saudi Arabia; Department of MIS, College of Commerce and Business Administration, Dhofar University, Salalah, Oman; Department of Business Administration, Aligarh Muslim University, Aligarh, India",IEEE Access,"1 Dec 2021","2021","9","","156880","156893","Digital technology advancement and the Internet of Things (IoT) are playing a major role to take a big leap towards achieving Industry 4.0. Cloud-based data management and big data analytics have given rise to adopt Cloud Enterprise Resource Planning (CERP). The CERP has become a significant tool for the success of the information management system (IMS) which is ultimately responsible for the success of any organization. The selection of CERP depends on many critical success factors (CSFs) that must be considered while evaluating and selecting a CERP. In this work, identified CSFs of CERP are modeled using a multi-criteria decision-making (MCDM) approach. The Analytic Hierarchy Process (AHP) and Fuzzy Analytic Hierarchy Process (FAHP) based modelling have been carried out to derive the ranking of the CSFs responsible for the CERP. The group decision-making (GDM) based AHP has also been adopted to build the decision-making model. The paper models 5 Dimensions and 20 sub-criteria factors to provide the prioritized rank of Dimensions and CSFs. The AHP and FAHP models identify the ranking of the 5 Dimensions as Organizational Behavior, Cloud ERP Essentials, Technological Advancement, Innovational Ideas, and Environmental Impact.","2169-3536","","10.1109/ACCESS.2021.3129523","Deanship of Scientific Research at King Khalid University(grant numbers:RGP. 1 / 370 / 42); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9622237","Analytic hierarchy process (AHP);cloud enterprise resource planning (CERP);fuzzy AHP (FAHP);industry 40;information system (IS);information technology (IT)","Organizations;Cloud computing;Analytic hierarchy process;Enterprise resource planning;Costs;Tools","","5","","50","CCBY","19 Nov 2021","","","IEEE","IEEE Journals"
"Fog Computing Approach for Music Cognition System Based on Machine Learning Algorithm","L. Lu; L. Xu; B. Xu; G. Li; H. Cai","School of Software, Shanghai Jiao Tong University, Shanghai, China; Old Dominion University, Norfolk, VA, USA; Antai College of Economics and Management, Shanghai Jiao Tong University, Shanghai, China; School of Software, Shanghai Jiao Tong University, Shanghai, China; School of Software, Shanghai Jiao Tong University, Shanghai, China",IEEE Transactions on Computational Social Systems,"7 Dec 2018","2018","5","4","1142","1151","With the wide spreading of mobile and Internet of Things (IoT) devices, music cognition as a meaningful task for music promotion has attracted a lot of attention around the world. How to automatically generate music score is an important part in music cognition, which acts as an important carrier so as to disposing huge quantity of music data in IoT networks or Internet. For the reason that the computers lack of the domain knowledge and cognitive ability, it is hard for computers to recognize the melody of music or write score while listening to the music. Therefore, a music cognition system is introduced to cognate music and automatically write score based on machine learning methods. First, considering large-scale data processing is needed by machine learning algorithms and a number of music devices are involved in the cognition system through Internet, fog computing is adopted in the proposed architecture to efficiently allocate computing resources. Then, the system can collect, preprocess, and store raw music data on the fringe nodes. Meanwhile, these data will be transmitted from fog nodes to cloud servers to form music databases. Then, machine learning algorithms, such as hidden Markov model and Gaussian mixture model, are performed in cloud servers to recognize music melody. Finally, a case study of music score generation demonstrates the proposed system. It is shown that the method provides an effective support to generate music score, and also proposed a promising way for the research and application of music cognition.","2329-924X","","10.1109/TCSS.2018.2871694","National Natural Science Foundation of China(grant numbers:61373030); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8488689","Audio signal process;fog computing;Internet of Things (IoT);machine learning;music cognition","Music;Internet of Things;Internet of Things;Edge computing;Hidden Markov models;Machine learning;Cognition;Data models","","32","","36","IEEE","10 Oct 2018","","","IEEE","IEEE Journals"
"Resource Efficient Geo-Textual Hierarchical Clustering Framework for Social IoT Applications","J. Shuja; M. A. Humayun; W. Alasmary; H. Sinky; E. Alanazi; M. K. Khan","Department of Computer Science, COMSATS University Islamabad, Abbottabad Campus, Abbottabad, Pakistan; Faculty of Integrated Technologies, Universiti Brunei Darussalam, Gadong, Brunei; Department of Computer Engineering, Umm Al-Qura University, Mecca, Saudi Arabia; College of Computer and Information Systems, Umm Al-Qura University, Mecca, Saudi Arabia; Department of Computer Science, Umm Al-Qura University, Mecca, Saudi Arabia; Center of Excellence in Information Assurance (CoEIA), King Saud University, Riyadh, Saudi Arabia",IEEE Sensors Journal,"12 Nov 2021","2021","21","22","25114","25122","The Social Internet of Things (SIoT) paradigm incorporates social networking concepts with the Internet of Things (IoT) solutions to support novel services. The massive amount of data (big data) produced by SIoT necessitates efficient information processing frameworks to exploit social relationships and comprehend actionable information from real-world observations. Data from AI-enabled sensors (AIS) is typically geo-tagged, thus demanding geo-textual processing for information retrieval and analysis. Social media applications are the main source of geo-textual data as mobile users connect with millions of posts daily. The processing of big geo-textual data requires resource-efficient algorithms and frameworks. Clustering algorithms are often applied to geo-textual data to examine spatial, textual, and temporal information for event detection, sentiment analysis, and search query response. Clustering algorithms on big data are resource-hungry requiring comparisons among all data points to calculate similarity and distance metrics. Existing hybrid clustering techniques execute algorithms collectively on geo-textual data resulting in a enormous footprint for big data. We propose a resource-efficient clustering framework for AIS that hierarchically performs geo-textual clustering without significantly lowering the clustering quality. The proposed framework achieves substantial time and memory efficiency while reducing the overall resource requirements for constrained end-user and edge devices compared to the standard hybrid geo-textual clustering framework. Moreover, we augment the research work by developing open-source scripts for both hierarchical and hybrid clustering frameworks.","1558-1748","","10.1109/JSEN.2021.3060953","Deanship of Scientific Research at Umm Al-Qura University(grant numbers:19-COM-1-01-0016); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9359746","Clustering;geo-textual;machine learning;resource efficiency;social IoT","Sensors;Artificial intelligence;Social networking (online);Big Data;Task analysis;Internet of Things;Clustering algorithms","","29","","41","IEEE","22 Feb 2021","","","IEEE","IEEE Journals"
